split,label,group,grouping,path,sha256,pixel_sha256,width,height,source_url
validation,maize_healthy,maize_healthy:image:0487da8b-736c-4310-82d2-fa8acf4aed07___R.S_HL 0646 copy 3.jpg,image_only_provisional,data/multicrop-v1/splits/validation/maize_healthy/0487da8b-736c-4310-82d2-fa8acf4aed07___R.S_HL 0646 copy 3.jpg,ac0ff4c519475d5fa8480e912396cfb6c8141e92820f1d6fb18f4a508e2e8fd8,af8eeda289ad751ea356c88dd9d7bdf0abf1070e01091c8432b23aaa73e3dbea,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0487da8b-736c-4310-82d2-fa8acf4aed07___R.S_HL%200646%20copy%203.jpg
train,maize_healthy,maize_healthy:image:04ed222d-d287-4199-b412-f2f07c872bee___R.S_HL 8101 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/04ed222d-d287-4199-b412-f2f07c872bee___R.S_HL 8101 copy 2.jpg,91c7ec0d0f4d779d937e60ae1bf5d5cf66adf20d8963f59feacf2f0f12532489,6e5599d5d6f75a71ee3e10b9c223dc194ae1cf3bc6209e84407ad3c21627dbd9,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/04ed222d-d287-4199-b412-f2f07c872bee___R.S_HL%208101%20copy%202.jpg
train,maize_healthy,maize_healthy:image:04fd8e07-f450-4a00-ab97-b7b033226ddd___R.S_HL 7952 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/04fd8e07-f450-4a00-ab97-b7b033226ddd___R.S_HL 7952 copy.jpg,34f699981f200e2c5d4cbeefbf5d498ec65116f60abb221f4dbad31b6034fd3a,b235e65d8cc76709a18f9081026edbd15364e7ab9baa6b7753b2db432d0e0325,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/04fd8e07-f450-4a00-ab97-b7b033226ddd___R.S_HL%207952%20copy.jpg
train,maize_healthy,maize_healthy:image:052169e1-a51d-4ff7-8b70-f07f3d2500c5___R.S_HL 0650 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/052169e1-a51d-4ff7-8b70-f07f3d2500c5___R.S_HL 0650 copy 2.jpg,684c8e01b1a6442553b9fb44a866eb0022887ca3c63feeafa71f7d940c25b4a6,12e411382aaa74461eb814668b2692926c2db1fc7127f19680c665354e265440,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/052169e1-a51d-4ff7-8b70-f07f3d2500c5___R.S_HL%200650%20copy%202.jpg
train,maize_healthy,maize_healthy:image:057c048a-6232-4657-8270-5a3e2d468970___R.S_HL 8240 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/057c048a-6232-4657-8270-5a3e2d468970___R.S_HL 8240 copy.jpg,ef09e455e53977c1b976cc47c9492a434bd5c0e042a2bc18d8f0ff740a3d04cb,9e997fe22bcafa586b26bb97d801e10b3e2530217364a0260b014c665093708c,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/057c048a-6232-4657-8270-5a3e2d468970___R.S_HL%208240%20copy.jpg
train,maize_healthy,maize_healthy:image:0618b46e-b4fb-4069-9b95-6c6c2387688a___R.S_HL 0609 copy 3.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0618b46e-b4fb-4069-9b95-6c6c2387688a___R.S_HL 0609 copy 3.jpg,8bb780c3ac6817e804d1f0f3e1a9d7a6e90fa001e0035ddeb6c922022d17423b,49568dba007fbd5395fb979e8dad060162619055c63b41fd93f1fa96519336e7,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0618b46e-b4fb-4069-9b95-6c6c2387688a___R.S_HL%200609%20copy%203.jpg
validation,maize_healthy,maize_healthy:image:062b0c0f-94fa-4c58-b735-2ba65e4dc9b9___R.S_HL 7947 copy.jpg,image_only_provisional,data/multicrop-v1/splits/validation/maize_healthy/062b0c0f-94fa-4c58-b735-2ba65e4dc9b9___R.S_HL 7947 copy.jpg,1b00cbcd3cd7ab556ed1c5bbf96cc3b0db57c4ebeecd125960b734e6a1cf2b27,08d12dd7393acea2a356e6d57b203a0bf9210f61b7194b3ca5889fc0a30574b3,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/062b0c0f-94fa-4c58-b735-2ba65e4dc9b9___R.S_HL%207947%20copy.jpg
train,maize_healthy,maize_healthy:image:0630fcdc-33c1-478b-882f-07da48cf8002___R.S_HL 8026 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0630fcdc-33c1-478b-882f-07da48cf8002___R.S_HL 8026 copy.jpg,4e50c7bb41bff52143cef2e9a1b1cd38cc561a036bb07c50d5f1903f070bc109,723fc4fcbe4d2963aff04654e7c9b53468a03359231e452d6fb5d3b5de1f117a,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0630fcdc-33c1-478b-882f-07da48cf8002___R.S_HL%208026%20copy.jpg
train,maize_healthy,maize_healthy:image:06612347-fe75-4026-9ed0-8cb1587b60a6___R.S_HL 8130 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/06612347-fe75-4026-9ed0-8cb1587b60a6___R.S_HL 8130 copy.jpg,618d814fa5a58313a7040686f249dea1675d5abf704fa81352792bd47894dfc8,6e799fc6839b0a4cce3df179f3401d6f697aff21795f61f61e09c1404be372a0,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/06612347-fe75-4026-9ed0-8cb1587b60a6___R.S_HL%208130%20copy.jpg
validation,maize_healthy,maize_healthy:image:0673a42c-74f8-4fe8-b07b-401592875c57___R.S_HL 5536 copy.jpg,image_only_provisional,data/multicrop-v1/splits/validation/maize_healthy/0673a42c-74f8-4fe8-b07b-401592875c57___R.S_HL 5536 copy.jpg,9a0ea01280ef06377e17cc9b47d3098b0cfb1230ab87be6c1c35d4ce58760a53,ac8390ded103fcec642afe0907a0e4dca7aa45da840950fd95a0a60c96b3780f,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0673a42c-74f8-4fe8-b07b-401592875c57___R.S_HL%205536%20copy.jpg
train,maize_healthy,maize_healthy:image:068794e5-0a99-405f-bbb9-1f954e11942d___R.S_HL 7909 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/068794e5-0a99-405f-bbb9-1f954e11942d___R.S_HL 7909 copy 2.jpg,148f56843b55d6b0c8b8c5dc5869a6ce1bdfb8c741d80f7df481efdf7bbca7a9,ac7a5c5760d9b429e275e70f69e909777f00c10f0fe65e08d789cfa2c9323c4c,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/068794e5-0a99-405f-bbb9-1f954e11942d___R.S_HL%207909%20copy%202.jpg
train,maize_healthy,maize_healthy:image:06ebb8a5-b811-465a-923b-849b27969bad___R.S_HL 0632 copy 5.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/06ebb8a5-b811-465a-923b-849b27969bad___R.S_HL 0632 copy 5.jpg,df6d757e720bdf445b650421d40fcc21ebdc1ff7d87bce61f338194a96874c8e,98d26977dc76a373b7672a284f3eeb4eb9e056176ae0b3d792733b6050a703be,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/06ebb8a5-b811-465a-923b-849b27969bad___R.S_HL%200632%20copy%205.jpg
train,maize_healthy,maize_healthy:image:06ec8081-1520-43e3-bda7-d74467f55992___R.S_HL 7935 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/06ec8081-1520-43e3-bda7-d74467f55992___R.S_HL 7935 copy.jpg,f7dc3db7128eb847c1fd3908b70556458820f84c217048c8854db7f38167886b,1e96a20e4b84401b3897a686f6b3974da94a4790c4bfc6ab371737c155b275b9,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/06ec8081-1520-43e3-bda7-d74467f55992___R.S_HL%207935%20copy.jpg
train,maize_healthy,maize_healthy:image:06f252bb-2ceb-4ca3-a25b-3c8016ee7ee8___R.S_HL 5498 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/06f252bb-2ceb-4ca3-a25b-3c8016ee7ee8___R.S_HL 5498 copy 2.jpg,44b2372bfa2866837e42d5685b2dccbaed85ff32f48f98d475e4d0f98c8c4b0d,2ac937dcc3b6ea40ff030bae010bbcd1c79f0535af877507ae1fc0b20aa7fe7f,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/06f252bb-2ceb-4ca3-a25b-3c8016ee7ee8___R.S_HL%205498%20copy%202.jpg
train,maize_healthy,maize_healthy:image:06fc07d3-2c82-4538-9d0e-bff9808cd3fe___R.S_HL 0639 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/06fc07d3-2c82-4538-9d0e-bff9808cd3fe___R.S_HL 0639 copy.jpg,8cc9fd9004123d6016314f0a3bb7b7779db35c8342350846c93fd4f64b448094,30227396aa6c2b08d01a9085203eaf6bb941cf936f6c2c8869d92a6ea5a4cfb9,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/06fc07d3-2c82-4538-9d0e-bff9808cd3fe___R.S_HL%200639%20copy.jpg
train,maize_healthy,maize_healthy:image:07078bdc-44b5-4103-8f13-bf889f7371c5___R.S_HL 8068 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/07078bdc-44b5-4103-8f13-bf889f7371c5___R.S_HL 8068 copy.jpg,78cc5bbfc2938e6ea57a980c68aa29b0b1b0bc3410edbe5410ab019cfd1a5296,7a5977227566301a8b23a2ffdc6088b6fc47b25d8853c6c293f58a69cb815cc7,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/07078bdc-44b5-4103-8f13-bf889f7371c5___R.S_HL%208068%20copy.jpg
test,maize_healthy,maize_healthy:image:07317e94-df27-4c29-bd69-6c5e54a0457d___R.S_HL 7998 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/07317e94-df27-4c29-bd69-6c5e54a0457d___R.S_HL 7998 copy.jpg,2b7f9e55821d779ff01cac7d5be1d538a5f44fb2292f5b7fa417a87991ce0ac6,ccdc40293739bc5081175048df6a876ad90ad5d4ba8580d2e8f6f1ba61d17c94,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/07317e94-df27-4c29-bd69-6c5e54a0457d___R.S_HL%207998%20copy.jpg
validation,maize_healthy,maize_healthy:image:0761360f-9118-4019-a513-e0b80d871a3d___R.S_HL 8175 copy.jpg,image_only_provisional,data/multicrop-v1/splits/validation/maize_healthy/0761360f-9118-4019-a513-e0b80d871a3d___R.S_HL 8175 copy.jpg,16536ae13d4fe02cb7ac92c04e4ffa00517f76a1bb1d26578049937623997139,2b0f5b6826dbe538822894c3564619855adf76e1f0eb7d51665e05008b1649d2,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0761360f-9118-4019-a513-e0b80d871a3d___R.S_HL%208175%20copy.jpg
train,maize_healthy,maize_healthy:image:0788fd06-d2f5-4f2d-9fc0-27eee3f437fc___R.S_HL 8243 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0788fd06-d2f5-4f2d-9fc0-27eee3f437fc___R.S_HL 8243 copy 2.jpg,b67cd3bb0bf53278401f3a8b5cf4129b79307747b6fcff83e03bdb751e372188,6ec0973c8dc88f93f4d9558da2d4f6dd0bfddf0c745be15913399a9b46b0c02d,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0788fd06-d2f5-4f2d-9fc0-27eee3f437fc___R.S_HL%208243%20copy%202.jpg
train,maize_healthy,maize_healthy:image:07eae7fd-96f5-4f09-ba7a-1b108987c6af___R.S_HL 0600 copy 3.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/07eae7fd-96f5-4f09-ba7a-1b108987c6af___R.S_HL 0600 copy 3.jpg,68b6f34bbf05f8947d038c7aa8718686f8535afae187b5b023388baef4825926,e77934c03cc7212471a27f9bc4b81d2ea48050760dba84d3f2edbafb08554fba,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/07eae7fd-96f5-4f09-ba7a-1b108987c6af___R.S_HL%200600%20copy%203.jpg
test,maize_healthy,maize_healthy:image:0809c606-2a44-4c38-be5b-6321859d8829___R.S_HL 8137 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/0809c606-2a44-4c38-be5b-6321859d8829___R.S_HL 8137 copy.jpg,d229bbcc72a55ef65754987d7bfa406b2bb7c0202b3acb2a03f8d2730b7a0d48,55c4ce9760a6b4a0c85d23517b65b1e280f33d7613b667087e6095a7ea0abea5,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0809c606-2a44-4c38-be5b-6321859d8829___R.S_HL%208137%20copy.jpg
train,maize_healthy,maize_healthy:image:0863939a-3e44-41c2-b1a4-e603cb989993___R.S_HL 8014 copy 3.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0863939a-3e44-41c2-b1a4-e603cb989993___R.S_HL 8014 copy 3.jpg,bfb6841bf57240826c880172db45da0770214da128baf3a75c0d5be93b6d06a5,02d4002fdd82442d8e503315ce3addf024ba1327d41a165eb30d8e5559bcbbb2,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0863939a-3e44-41c2-b1a4-e603cb989993___R.S_HL%208014%20copy%203.jpg
test,maize_healthy,maize_healthy:image:086c8cca-951a-4c1d-93b9-e225b628f2fd___R.S_HL 8024 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/086c8cca-951a-4c1d-93b9-e225b628f2fd___R.S_HL 8024 copy.jpg,5da03fe49b6be4b953ffbbb3d945c334b896eb4857cc718e3a606e7f486c4c9d,0dfef245e25bd743d851ccea84658d8f562318b056ae33566159478add72ddce,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/086c8cca-951a-4c1d-93b9-e225b628f2fd___R.S_HL%208024%20copy.jpg
train,maize_healthy,maize_healthy:image:09282d61-1bed-4af6-8813-88328f2bd312___R.S_HL 8016 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/09282d61-1bed-4af6-8813-88328f2bd312___R.S_HL 8016 copy.jpg,26f2b185c9e84b3dfab2d553cbd0493bca974166521f340edc8998ab40895348,149b8257767d145755271d1b09dbeb2319cbce98df61a29b2930a4aa40deebc1,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/09282d61-1bed-4af6-8813-88328f2bd312___R.S_HL%208016%20copy.jpg
train,maize_healthy,maize_healthy:image:093cf670-66a2-4bc6-bdb5-0c3d2ea6dab2___R.S_HL 8302 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/093cf670-66a2-4bc6-bdb5-0c3d2ea6dab2___R.S_HL 8302 copy.jpg,d7a1979a91ca8cdd461a8a7b023b033d9b8fba034e80838b4eb6dbfbe65c959c,379cc74597756a775e910a2e0d606a5b8d170a965b3448d08f56120636c58dc7,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/093cf670-66a2-4bc6-bdb5-0c3d2ea6dab2___R.S_HL%208302%20copy.jpg
train,maize_healthy,maize_healthy:image:095ac154-37a5-4511-b4e1-4b3853f9c1cb___R.S_HL 0601 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/095ac154-37a5-4511-b4e1-4b3853f9c1cb___R.S_HL 0601 copy.jpg,bc93273fad9e762ad649a3f655963af7ae1f6a3b08f2397c1397fda590906e98,b5c33fc56f18327fea9a8c9ec1eefd1db0c0d3a9ea79c7d979ef6d65c0535fc0,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/095ac154-37a5-4511-b4e1-4b3853f9c1cb___R.S_HL%200601%20copy.jpg
